,Name,Smiles,Binding
938,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-11,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CCCC3)o2)CC1,False
939,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-12,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NC3CC3)o2)CC1,False
940,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-13,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCSCC3)o2)CC1,False
941,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-16,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(F)cc3F)o2)CC1,False
942,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-17,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCCC(C)C)o2)CC1,False
943,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-18,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCc3ccccc3)o2)CC1,False
944,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-19,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N3CCN(S(C)(=O)=O)CC3)o2)CC1,False
945,it4.2_AM-07_Imid-01_SO2Cl-01_AM-SO2Cl-20,CCCCNC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)N(C)CCN(C)C)o2)CC1,False
946,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-01,COCCNS(=O)(=O)c1ccc(C(=O)N2CCN(C(=O)NC(C)C)CC2)o1,False
947,it4.2_AM-08_Imid-01_SO2Cl-01_AM-SO2Cl-02,CC(C)NC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)NCC3CC3)o2)CC1,False
