,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_n_estimators,state
126,126,0.6236659011286225,2022-11-29 19:17:05.052370,2022-11-29 19:17:11.847059,0 days 00:00:06.794689,"{0: 1, 1: 100}",34.0,,60,COMPLETE
127,127,0.6784058427928342,2022-11-29 19:17:12.009111,2022-11-29 19:17:35.910436,0 days 00:00:23.901325,,10.0,0.6,710,COMPLETE
128,128,0.687622539091316,2022-11-29 19:17:36.081970,2022-11-29 19:17:46.196623,0 days 00:00:10.114653,,4.0,0.7,260,COMPLETE
129,129,0.6378401370998035,2022-11-29 19:17:46.365086,2022-11-29 19:17:53.342853,0 days 00:00:06.977767,balanced,7.0,sqrt,210,COMPLETE
130,130,0.5470560650009766,2022-11-29 19:17:53.512679,2022-11-29 19:18:01.600004,0 days 00:00:08.087325,"{0: 1, 1: 10}",26.0,log2,560,COMPLETE
131,131,0.6557520943382908,2022-11-29 19:18:01.754685,2022-11-29 19:18:12.670708,0 days 00:00:10.916023,balanced,33.0,0.7,310,COMPLETE
132,132,0.6727501269590309,2022-11-29 19:18:12.842055,2022-11-29 19:18:21.616130,0 days 00:00:08.774075,,15.0,0.7,110,COMPLETE
133,133,0.5854679107374163,2022-11-29 19:18:21.799571,2022-11-29 19:18:40.543102,0 days 00:00:18.743531,"{0: 1, 1: 100}",3.0,1.0,960,COMPLETE
134,134,0.6676370453809698,2022-11-29 19:18:40.714765,2022-11-29 19:18:57.679441,0 days 00:00:16.964676,balanced,33.0,0.6,760,COMPLETE
135,135,0.6285412265117426,2022-11-29 19:18:57.849478,2022-11-29 19:19:07.187065,0 days 00:00:09.337587,"{0: 1, 1: 10}",30.0,sqrt,810,COMPLETE
136,136,0.6525590864503763,2022-11-29 19:19:07.376735,2022-11-29 19:19:32.611252,0 days 00:00:25.234517,balanced,22.0,,910,COMPLETE
137,137,0.6382159730941183,2022-11-29 19:19:32.795968,2022-11-29 19:19:40.583712,0 days 00:00:07.787744,,7.0,sqrt,510,COMPLETE
138,138,0.7093411243641817,2022-11-29 19:19:40.744348,2022-11-29 19:19:50.243146,0 days 00:00:09.498798,"{0: 1, 1: 10}",17.0,,160,COMPLETE
139,139,0.7231895104356265,2022-11-29 19:19:50.413174,2022-11-29 19:20:11.365391,0 days 00:00:20.952217,"{0: 1, 1: 10}",8.0,0.9,660,COMPLETE
140,140,0.5882648445362672,2022-11-29 19:20:11.530182,2022-11-29 19:20:18.386660,0 days 00:00:06.856478,balanced,14.0,0.8,10,COMPLETE
141,141,0.71021451759714,2022-11-29 19:20:18.572603,2022-11-29 19:20:39.499220,0 days 00:00:20.926617,"{0: 1, 1: 10}",29.0,0.7,810,COMPLETE
142,142,0.5871510015648594,2022-11-29 19:20:39.667813,2022-11-29 19:20:46.524564,0 days 00:00:06.856751,balanced,24.0,log2,110,COMPLETE
143,143,0.6538026658976006,2022-11-29 19:20:46.683089,2022-11-29 19:21:01.539532,0 days 00:00:14.856443,balanced,38.0,0.9,460,COMPLETE
144,144,0.6746500395924047,2022-11-29 19:21:01.714406,2022-11-29 19:21:13.563962,0 days 00:00:11.849556,,18.0,1.0,160,COMPLETE
145,145,0.6611997302642283,2022-11-29 19:21:13.739549,2022-11-29 19:21:21.926849,0 days 00:00:08.187300,balanced,,0.7,160,COMPLETE
146,146,0.6767652873681056,2022-11-29 19:21:22.086839,2022-11-29 19:21:47.983848,0 days 00:00:25.897009,,13.0,,510,COMPLETE
147,147,0.6721262942949013,2022-11-29 19:21:48.165649,2022-11-29 19:22:00.016078,0 days 00:00:11.850429,,22.0,,160,COMPLETE
148,148,0.6565029109888121,2022-11-29 19:22:00.186102,2022-11-29 19:22:09.704100,0 days 00:00:09.517998,balanced,33.0,sqrt,810,COMPLETE
149,149,0.599906557770089,2022-11-29 19:22:09.865628,2022-11-29 19:22:19.519216,0 days 00:00:09.653588,"{0: 1, 1: 100}",,log2,910,COMPLETE
150,150,0.7145079483327545,2022-11-29 19:22:19.700715,2022-11-29 19:22:33.185003,0 days 00:00:13.484288,"{0: 1, 1: 10}",18.0,1.0,310,COMPLETE
